1,B
2,D
3,C
4,D
5,D
6,B
7,D
8,D
9,B
10,B
11,C
12,B
13,A
14,A
15,A
16,C
17,D
18,C
19,C
20,D
21,D
22,A
23,D
24,B
25,D
26,D
27,A
28,A
29,B
30,D
31,A
32,D
33,D
34,B
35,C
36,B
37,A
38,B
39,C
40,B
41,B
42,A
43,C
44,C
45,A
46,C
47,B
48,D
49,D
50,B
51,B
52,A
53,C
54,D
55,D
56,A
57,D
58,D
59,C
60,D
61,D
62,A
63,D
64,B
65,D
66,D
67,B
68,B
69,B
70,D
71,D
72,C
73,B
74,A
75,B
76,C
77,D
78,D
79,A
80,C
81,C
82,D
83,A
84,B
85,D
86,B
87,C
88,D
89,C
90,D
91,C
92,D
93,B
94,D
95,C
96,B
97,D
98,A
99,A
100,D
101,D
102,B
103,D
1,B
2,D
3,D
4,D
5,A
6,D
7,A
8,C
9,A
10,A
11,C
12,A
13,D
14,B
15,B
16,B
17,C
18,B
19,B
20,B
21,C
22,D
23,D
24,A
25,B
26,C
27,C
28,D
29,A
30,D
31,D
32,B
33,C
34,D
35,D
36,B
37,D
38,D
39,D
40,A
41,C
42,A
43,D
44,C
45,C
46,D
47,C
48,A
49,B
50,C
51,D
52,D
53,C
54,C
55,B
56,B
57,B
58,A
59,C
60,C
61,C
62,D
63,D
64,C
65,D
66,D
67,B
68,D
69,D
70,D
71,D
72,C
73,C
74,D
75,A
76,C
77,A
78,C
79,C
80,A
81,D
82,C
83,B
84,A
85,A
86,B
87,D
88,A
89,C
90,D
91,B
92,A
93,D
94,A
95,D
96,D
97,C
98,A
99,D
100,D
101,D
102,D
103,B
104,D
105,C
106,A
107,A
108,D
109,C
110,D
111,D
112,A
113,C
114,A
115,D
116,C
117,B
118,A
119,D
120,A
121,B
122,C
123,B
124,B
125,B
126,A
127,C
128,C
129,B
130,D
131,B
132,D
133,D
134,A
135,D
136,A
137,C
138,B
139,B
140,C
141,A
142,C
143,A
144,C
145,B
146,D
147,B
148,D
149,A
150,B
151,C
152,D
153,A
154,C
155,D
156,B
157,B
158,A
159,C
160,C
161,D
162,C
163,D
164,D
165,D
166,B
167,B
168,D
169,A
170,A
171,D
172,C
173,B
